param;accuracy;recall;precision;roc;mcc;TP;TN;FP;FN
{'eps': 0.5, 'metric': 'euclidean', 'min_samples': 50};0.5097249046567537;0.6510621557828482;0.0071641765201148;0.5800089262975756;0.0234850579849145;3310;475443;458711;1774
{'eps': 0.5, 'metric': 'euclidean', 'min_samples': 25};0.6650007772257936;0.4935090479937057;0.0079757643573295;0.5797215722565617;0.0247874492918377;2509;622085;312069;2575
{'eps': 0.5, 'metric': 'euclidean', 'min_samples': 15};0.7493042232107304;0.4065696302124311;0.008814010310729;0.5788695687977911;0.026739801041847;2067;701708;232446;3017
{'eps': 0.45, 'metric': 'euclidean', 'min_samples': 50};0.3161956820316043;0.8042879622344611;0.0063361065098109;0.5589136357994349;0.0186452772185042;4089;292894;641260;995
{'eps': 0.45, 'metric': 'euclidean', 'min_samples': 25};0.5195285965857429;0.6418174665617624;0.0072075614233111;0.5803402617012487;0.0235945111680332;3263;484698;449456;1821
{'eps': 0.45, 'metric': 'euclidean', 'min_samples': 15};0.6358068987839078;0.5247836349331235;0.007793968146391;0.5805973810031949;0.0245748311831438;2668;594506;339648;2416
{'eps': 0.4, 'metric': 'euclidean', 'min_samples': 50};0.129338889610514;0.9327301337529504;0.0057677478051664;0.5288483405122997;0.0128157445044549;4742;116738;817416;342
{'eps': 0.4, 'metric': 'euclidean', 'min_samples': 25};0.3191853396050841;0.8031077891424075;0.0063545769918556;0.5598297248946837;0.0188863174171621;4083;295708;638446;1001
{'eps': 0.4, 'metric': 'euclidean', 'min_samples': 15};0.4681241602235003;0.6864673485444532;0.0069597610149684;0.5767016035429893;0.0225632136901108;3490;436190;497964;1594
