codearvalis;libellecourt;datemesure;valeur;valeurorigine;idstatut;idmodeobtention
269;TX;2010-01-01;0.6;;1;2.0
269;TM;2010-01-01;0.3;;3;2.0
269;ETP;2010-01-01;0.5;;1;1.0
269;RR;2010-01-01;0.0;;1;
269;TX;2010-01-01;0.6;;1;
269;TN;2010-01-01;0.0;;1;1.0
269;RR;2010-01-01;0.0;;1;2.0
269;TN;2010-01-01;0.0;;1;2.0
269;TM;2010-01-01;0.3;;3;
269;ETP;2010-01-01;0.5;;1;2.0
269;TX;2010-01-01;0.6;;1;1.0
269;TN;2010-01-01;0.0;;1;
269;RR;2010-01-01;0.0;;1;1.0
269;TM;2010-01-01;0.3;;3;1.0
269;TN;2010-01-01;0.0;;1;3.0
269;RR;2010-01-01;0.0;;1;3.0
269;ETP;2010-01-01;0.5;;1;
269;TM;2010-01-01;0.3;;3;3.0
269;TX;2010-01-01;0.6;;1;3.0
269;ETP;2010-01-01;0.5;;1;3.0
269;GLOT;2010-01-01;72.0;38.0;4;2.0
269;GLOT;2010-01-01;72.0;38.0;4;3.0
269;GLOT;2010-01-01;72.0;38.0;4;1.0
269;GLOT;2010-01-01;72.0;38.0;4;
354;TM;2010-01-01;3.9;;3;1.0
354;TM;2010-01-01;3.9;;3;3.0
354;TX;2010-01-01;4.6;;1;
354;TN;2010-01-01;3.2;;1;2.0
354;ETP;2010-01-01;0.4;;4;
354;TN;2010-01-01;3.2;;1;
354;TX;2010-01-01;4.6;;1;1.0
354;ETP;2010-01-01;0.4;;4;1.0
354;RR;2010-01-01;0.8;;1;1.0
354;RR;2010-01-01;0.8;;1;3.0
354;TX;2010-01-01;4.6;;1;3.0
354;GLOT;2010-01-01;110.0;;4;
354;TN;2010-01-01;3.2;;1;1.0
354;TX;2010-01-01;4.6;;1;2.0
354;TM;2010-01-01;3.9;;3;
354;RR;2010-01-01;0.8;;1;
354;GLOT;2010-01-01;110.0;;4;1.0
354;TM;2010-01-01;3.9;;3;2.0
354;GLOT;2010-01-01;110.0;;4;2.0
354;ETP;2010-01-01;0.4;;4;2.0
354;RR;2010-01-01;0.8;;1;2.0
354;GLOT;2010-01-01;110.0;;4;3.0
354;ETP;2010-01-01;0.4;;4;3.0
354;TN;2010-01-01;3.2;;1;3.0
484;TX;2010-01-01;6.3;;1;2.0
484;RR;2010-01-01;2.8;;1;1.0
